rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
121,6282,康舒,46.15,0.93,0.11,-1.64,5.98,47.9,0,17.3,-468980.0,-33000.0,3800535.0,-122000.0,False,False,0.0,0.0,0.0,量比0.93,量比0.93
122,6271,同欣電,171.5,1.19,-0.87,10.86,17.02,62.1,3,-4.6,127518.0,0.0,4640010.0,-340.0,False,False,0.0,0.0,0.0,量比1.19,量比1.19
123,6269,台郡,64.5,1.07,-1.98,9.03,2.3,59.1,0,8.6,-334297.0,0.0,3372382.0,0.0,False,False,0.0,0.0,0.0,量比1.07；成交額不足,量比1.07；成交額不足
124,6257,矽格,176.0,0.72,2.92,25.62,27.35,74.9,1,16.7,-873875.0,102877.0,1958925.0,-1615460.0,False,False,0.0,0.0,0.0,量比0.72；乖離25.6%,量比0.72；乖離25.6%
125,6239,力成,214.5,0.88,2.39,3.53,23.1,53.4,0,35.2,-278535.0,-1007890.0,213843.0,-802890.0,False,False,0.0,0.0,0.0,量比0.88,量比0.88
126,6213,聯茂,214.0,0.92,-1.15,42.99,81.07,76.8,1,13.8,-2240664.0,111518.0,-7977731.0,1428518.0,False,False,0.0,0.0,0.0,量比0.92；乖離43.0%,量比0.92；乖離43.0%
127,6209,今國光,55.0,0.87,-0.54,2.21,1.28,51.6,0,75.6,-119000.0,-2000.0,386295.0,-18000.0,False,False,0.0,0.0,0.0,量比0.87；成交額不足,量比0.87；成交額不足
128,6672,騰輝電子-KY,150.0,1.04,-2.6,30.37,11.1,73.7,0,32.7,-1726932.0,0.0,1519628.0,0.0,False,False,0.0,0.0,0.0,量比1.04；乖離30.4%,量比1.04；漲幅-2.6%；乖離30.4%
129,6196,帆宣,325.5,1.22,2.2,13.86,13.69,65.8,7,17.5,131093.0,-4106.0,2111762.0,-18309.0,False,False,0.0,0.0,0.0,量比1.22,量比1.22
130,6176,瑞儀,89.0,1.46,-2.63,-6.59,4.07,29.2,0,-3.7,-2144900.0,-107269.0,-2608900.0,-164981.0,False,False,0.0,0.0,0.0,未通過,漲幅-2.6%
131,6168,宏齊,26.65,0.5,-3.79,15.95,2.72,62.1,0,-0.9,-304000.0,0.0,-31499.0,0.0,False,False,0.0,0.0,0.0,量比0.50,量比0.50；漲幅-3.8%
132,6120,達運,13.95,1.33,-3.46,6.36,1.95,56.9,0,8.4,-1090000.0,0.0,4765813.0,-15000.0,False,False,0.0,0.0,0.0,成交額不足,漲幅-3.5%；成交額不足
133,6005,群益證,28.6,1.08,1.06,0.51,2.19,51.7,1,53.3,94000.0,-443634.0,1682200.0,-687746.0,False,False,0.0,0.0,0.0,量比1.08；成交額不足,量比1.08；成交額不足
134,5880,合庫金,23.85,0.99,-0.83,2.06,2.78,57.0,4,,371144.0,-46316.0,15120368.0,-66609.0,False,False,0.0,0.0,0.0,量比0.99,量比0.99
135,5876,上海商銀,39.75,1.15,0.0,1.28,2.44,55.5,0,-3.2,-2577212.0,-254255.0,-3336832.0,-286910.0,False,False,0.0,0.0,0.0,量比1.15；成交額不足,量比1.15；成交額不足
136,5871,中租-KY,107.0,0.9,-1.38,1.35,5.01,50.3,0,-2.9,-1105266.0,-117920.0,-995129.0,-343449.0,False,False,0.0,0.0,0.0,量比0.90,量比0.90
137,6197,佳必琪,179.0,0.84,0.0,5.76,5.75,57.3,0,12.3,-582000.0,0.0,-2573000.0,0.0,False,False,0.0,0.0,0.0,量比0.84,量比0.84
